message,genre,related
child dying starvation received nothing,direct,1
please patient way,direct,1
good evening need advice protect epidemic earthquake,direct,1
woman know passed away church left kid currently one working im alone dont know,direct,1
need help town ba saintard guitton jean hose mahotte arcahaie lot people migrating capital need food,direct,1
victim sleeping mist wife child dont food please anot translated,direct,1
even father died want become professional kind field study help u find adequate shelter child go school best regard may god bless,direct,1
im house trembling,direct,1
need water tent food lantern medicine peguy ville impasse erice relax stadium,direct,1
international actor act quicker people still living,direct,1
group thats made camp adventist church thats sarthe next garage graham facing jordanian base there lot u,direct,1
seems omer centre juvenile marie auxiliatrice soeurs salysiennes de bosco adresse sarthe rte national enf brasserie la couronne imp malot38 bi,direct,0
people mountain burning figuratively rd section jacmel valley hasnt received aid food tent lot people whove left port,direct,1
location people starving please something save u,direct,1
hello haitian red cross im victim taken refuge south country help need,direct,1
people bizoton delmas carrefour need help waiting,direct,1
want know cabaret specifically guiton dying hunger hard find food want u,direct,1
live lile voix still havent type help,direct,1
condolence family victim recent disaster,direct,1
havent said anything regarding valley jacmel,direct,1
northwest part country price food escalating family abroad sent u u dollar purchasing power,direct,1
know love many atis die,direct,0
ile la vache food problem number people island increased,direct,1
good evening would like aid live la plaine marraine house destroyed would fill tank montana ground cant fissured water source broken,direct,1
people mon repos found help mon repos laplaine area,direct,1
pastor people lost house right need food clothes please need help area called bwadom,direct,1
population metropolitain zone hope little electricity edh,direct,1
note personal emergency,direct,0
please problem hungrydo something went school need eat find job,direct,1
study electronics would like know find job field thank,direct,1
note aclet dry counting,direct,0
last earthquake lost people without counting amputated foot,direct,1
himher dont mean please help go join himher,direct,0
help find job please,direct,0
would love go african country want help haitian,direct,1
im hungry something information good hunger tough brother sister,direct,1
people bigarat damien trouble yet visited authority american french canadian mission need help,direct,1
well dryit got full drink water,direct,1
need reconstruct country prefer another nation american working interest,direct,1
see aid started flow major selling market id much like know facilitate,direct,1
unitechd organization problem dealing victim area rumour help donation circulating widely however received food water medicine tent,direct,1
cabaret area called mang km pap,direct,1
received response message thanks,direct,0
plea send number contact find mediacal aid form aid,direct,1
clothes wear home destroyed kenscoff around viard,direct,1
pestel food nothing dipis house please waiting,direct,1
salutation people rubble avenue pan americaine total communication,direct,1
wife passport usa time earthquake getting visa renewed still usa requesting assistance,direct,1
asked question havent gotten response,direct,1
im professional want work computer scientist im looking job thank,direct,0
tent delmas helped need aid,direct,1
going elected leader whose term going end,direct,0
signal fm salut serious work fot hte rest people left aliveand voice weak ask list name,direct,0
need information aid emergency,direct,1
carpet blanket shelter dew rain there neighbourhood never get hears anything jivna please brother pas message along u comitee,direct,1
need help tp move big rubble receive assistance form tractor big concrete chunk,direct,1
people need road electricity medicine there epidemic attacking,direct,1
important ignore people aid malaria,direct,1
someone never aidshow protect,direct,1
someone called told alive supermarket help,direct,1
dont understand youre victim cant going give blood contrary need help,direct,1
pas message authority need food victim took refuge stmarc,direct,1
note comment political opinion emergency,direct,0
need advance notice earthquake,direct,1
risk another earthquake magnitude,direct,1
hello would like reachget pice information,direct,0
would like know price reyovac battery,direct,0
disease jacmel called hunger market closed little corner store open there food brevagesall hospital closed there laboratory thats working city,direct,1
id ask advice would say subject im potential victim issue,direct,1
school opening,direct,1
please circulate message authority please send food victim sought refuge st mark,direct,1
good job digicel like,direct,0
would like know organisation looking hire thank,direct,0
turtle tortuga island find help starving,direct,1
money buy please sent top cellular,direct,1
want information earthquake,direct,1
truncated sleeping street syringe rain fall everyone would much trouble asking pas message god bless everyone work radio,direct,1
need help delmas across kiskeya christian school thank u,direct,1
st march people starving sickwe waiting help,direct,1
want give blood go,direct,1
year lot problem wish best new year may god bless,direct,0
stay leftwhen finishedhe said die peaceall dream die like jesus etween two thief,direct,1
good morning would like know need american citizen want travel child give information please,direct,1
need help amother small child year old,direct,1
please need tentes sleepits cold rain started alreadyif god would dead already,direct,1
food water please help u,direct,1
valley jacmel lot problem population increased food become scarce dont card establish contact,direct,1
government police speak one say lost head give haiti breathe anothers air,direct,1
tell government forget portauprince place survivor victim,direct,1
thank help bring countrywe greatfulbut need food water least tent sleep urgent,direct,1
im christian theologist teacher live chatile behind big garden green pea manioc never received help cant go fight crowd,direct,1
please find msg let know help thank advance thank answering first message,direct,1
please possible give prepaid phone card topup mobile phone minute let family know still alive,direct,1
would like take part service,direct,1
seen aid boat close u get anything name ojaded asking aid face current crisis,direct,1
dont passportis possible one made moment expect answer,direct,1
someone passort would like go breath better air,direct,1
one come help u delmas,direct,1
plateau central maisade many victim came hereand enough please help u,direct,1
jacmel need tent,direct,1
please need go visit family santo domingo,direct,0
answer dont enough strength anymore go get,direct,0
find medicine tent medical care free,direct,1
need food water please,direct,1
dont understand put resume professional,direct,0
dont understand message please make clear,direct,0
im th section commune village bene house destroyed dont,direct,1
im gonaives native town lost everything earthquake,direct,1
natural catastrophe haiti nationally internationally knew help never got real victim government,direct,1
night school recieve young old people dont mean pay school thats made school need aid kind,direct,0
house destroyed father child died hear foreigner giving aid country cannot find even little water friend supporting,direct,1
im living veryvery difficult time please add calling card tomorrow,direct,1
didnt call give food hungry,direct,1
professional would like apply position domain,direct,0
foreseepredict earthquake,direct,1
education minister probably shellshocked stunned drink tea reduce state shock know say school collapsed flat cleaned please notify everyone,direct,1
cant take anymore please help,direct,1
remind gouvernement dead body lamanten ruelle raymond remon,direct,1
ideological message help country,direct,1
hallo listening radio petion ville american soldier mean savalgly beat people day long,direct,1
people jacquet toto got water food,direct,1
arent victim make come see u,direct,1
tell happening country,direct,0
pregnant seems baby growing take abort pregnancy,direct,1
organization giving document get phone card cmaps,direct,0
kid died house destroyed im beating,direct,1
left portauprince came le cayes never found got anything hunger killing feel like cant take,direct,1
someone supposedly say food beeing distributed go fight get top wont get law say case,direct,1
seems province people dont need food nobody send,direct,1
nazon comcel delmas area yet distribution please send help area soon possible thank message,direct,1
resident martissan still havent received anything please something u,direct,1
stopped route south kilometer palmistaven cant get help,direct,1
center hebergement alliance chretienne,direct,0
dont know area find himherit,direct,1
need help wayne carrefour,direct,1
michel havent gotten aid thats distributed troubledifficultyproblems would like take look kilometer,direct,1
earthquake haiti,direct,1
need know quake willstart againpeople talking,direct,0
would like get information earthquake,direct,1
idan ki pwovizyon w gen yen pou lagonav menm repons provision la gonave respond,direct,1
think digicel cell phone companyis b company,direct,0
flight starting florida,direct,0
person want know people card get food,direct,1
person want know responsible cleaning street,direct,1
woman ultrasound done,direct,0
need number find information regarding missing person im searching,direct,1
water problem get water,direct,1
capital heard people happy store institution still working,direct,1
asking help red cross,direct,1
help need dont come u money never get u victimes helponly gouverment help,direct,1
gonaives born lost everything earthquake,direct,1
information gotten propaganda live claircine even gotten little bit water dying hunger,direct,1
person looking job,direct,1
province losing day schooling aid people province receiving disasterstrikenhelpless came province money everyone profitget help,direct,1
food pestel please send food u,direct,1
shelter centre lot baby child havent gotten anything need medicine tent water food,direct,1
need government cd la gonav people sant ebjeman jerusalem dying,direct,1
need help food victim saint raphael nord,direct,1
dont send anymore sm text ok sm useless need food eat ok,direct,1
given u food area around house near marotiere go get food,direct,1
sm province help school said would like know whether able end year school ok thank,direct,1
would like go senegal,direct,0
school going open year,direct,0
sm ok thank much good infomation council reward god,direct,0
plan house ppl sleeping street remember alot family else country,direct,1
understand cant get tent kid month oldlast night raining kid,direct,1
dont need incompetent government messageplease send information employment,direct,0
person would like know hospital people hurt january earthquake sent,direct,1
time remove people champ de mar good location,direct,1
get job int gouvernment org,direct,0
hello located santo extended need help,direct,1
people live city allowed build,direct,1
need food champ de mar need water,direct,1
carrefour acachon dont water medication hospital please help u,direct,1
want get important message related precaution aught take aux cape haitien,direct,1
would like inform concerned authority aid distribution campeche communal section croix de bouquet need assistance,direct,1
send check lending u aid,direct,1
people anse rouge dying hunger thirst,direct,1
cannot get response message sent,direct,1
live impasse fafan rail road carrefour never got anything like food tent shelter house people,direct,1
people people live neighborhood hungry dont shamehumiliate find message work together help happy whatever give u,direct,1
prevent first epidemic,direct,1
wow balayen firmed nothing rosa city villa rosa,direct,0
fontamara lack everything,direct,1
would like good information,direct,0
need put dead body located carrefour,direct,1
sent answer mariani people,direct,1
hello digicel im looking work found food havent found tent,direct,1
tell quake start since januaryi big one cannot handle anymorei enough help,direct,1
look like real victimes dont foodthey sell gourdesthe rasta smoke pot,direct,1
put cv find job wwwjobpawcom,direct,0
living mont oje km jacme food water medicine problem dont send something u,direct,1
give card map contact number,direct,1
one find card get rice ending,direct,1
enter house posed head without fear,direct,1
white occupation rather colonisation,direct,1
please give address register scholarship people want study another country,direct,0
find coupon use go get food given pam world food program,direct,1
please send email fax u ambassy,direct,1
latest news haiti,direct,0
live lamanten enpas nelson need help,direct,1
put place refugee center people amputated large injury could continue taken care people going die choose send message truncated,direct,1
people help last never wnounap foreign ask,direct,0
note question regarding school,direct,0
need food tent healthcare portdepaix,direct,1
maligue area nothing,direct,1
victim house eaten,direct,1
ch vin chem ch vin chem vin haiti map last tr p f m thing nouv pouw number,direct,1
hello message get difficulty get suppliesthings child urgent get tent medicine cut,direct,1
send information health job precaution,direct,1
one month old baby doctor told mother nurse milk bad please need milk baby,direct,1
need water food hungry wrote got response year old month old u food tent,direct,1
feel like pas im relying ever transmitting message,direct,1
could get tarp tent would even better mother one arm paralyzed still well possible please find way emessage cut,direct,1
find org woman canada save,direct,1
continue hold mato haiti chery rebuild,direct,0
twoo week weraiting drink need water drink,direct,1
cant find card buy send card please would like call family even though lot victim,direct,1
people la voute need water food,direct,1
need tent stay rain okay thanks,direct,1
lot house major crack unstable jeremie precisely caracoli government haiti sending expert check please,direct,1
prevent earthquake,direct,1
technician electricity carpentercan help find job please,direct,0
would like anyway possible responsible authority reinstate school haiti ask scholarship would also like scholarship thank,direct,0
omg oclock pmits raining dont tentswe must stand night,direct,1
news regarding earthquake haiti,direct,1
money back cash backplease,direct,0
good morning need information regarding immigration thanks,direct,0
message send help,direct,1
somewhere cayese find help,direct,1
theastreet please help u need food plastic sheet sheltery water problem grace god others situation live leogane rue darboun rue machea,direct,1
thanks thanks koz requested something week got info hear daily medium national international,direct,1
may lord bless please give job,direct,0
need tent cannot sleep rain,direct,1
im till end digicel,direct,0
please declare people head block think translator bolosse avenue shooting every night pm people live give area prisoner came hide please save people bolosse,direct,1
caan tell passeport done expect answer thanks,direct,1
lot people need successfully obtain aid,direct,1
would like know way go archive paper pull archive extract,direct,0
need job driver find,direct,0
tuesday january th earthquake ravaged haiti instant,direct,1
hello live tabarre im victim im sleeping street nothing please help,direct,1
number reach voila company,direct,0
lot disease infection haiti,direct,1
delmas argentina entrance thank service may god bless,direct,0
salute thought going call write tell hope take good consideration particular case,direct,0
please send information rebuilding country,direct,1
help suvivors,direct,1
possibility haiti hit tsunami,direct,1
invective useless discard,direct,0
un requires one take rubble heshe leaf,direct,1
cousin aid want know precaution take girl friend,direct,1
note another fight using vernacular language bad wordshe complaining heshe hungry people bothering phone,direct,1
take away garbage leave afterward,direct,1
let work together save haiti trust god father,direct,1
need help money im getting jjmr,direct,1
still havent found anything live jacmel road,direct,1
food card color changed every dayto avoid trick,direct,1
told write wrote didnt tell anything victim,direct,1
food finished right front mewhat card,direct,1
law student comity people take care street want help need help,direct,1
people saintmarc came portauprince find food hungry,direct,1
people get dossier file threated,direct,0
kind precaution take day fasting service,direct,1
need help croix de bouquet call info,direct,1
ruelle cannesucre prolongue carrefour need tentes water food,direct,1
greet diaspora say thank message many needsall need please help family city jacmel,direct,1
th district leogane population dying hunger shelter either,direct,1
tent water situation get worse concerned authority dont act,direct,1
im greatfull received message congratulate good job hope found ask thanks advance,direct,0
sacrecoeur hospital located village milot km south oakp ready receive injured therefore asking sick report hospital,direct,1
sm jel2 acte chr7 lev11 ecl9 ecl4 jos5 ch102kr es59,direct,1
good evening located marc area close baradres need aide lot kid project nearby thank already,direct,1
doesnt state put electronic document immigration bureau,direct,0
tell much money get tuesday,direct,0
id like know information water giving several people taking without permission card,direct,1
hello id like know number call world food program thank,direct,1
id like sign program,direct,0
im driver im searching job since january th havent,direct,1
would like register today,direct,0
want serve population,direct,1
organization would like get subscribed,direct,0
survivor never got help nowhere,direct,1
would like receive information,direct,0
small org helpes survivorswe need waterfood,direct,1
leogane need food care really need,direct,1
id like sign service explain enter,direct,0
would like info going recieve info radio,direct,1
work civil engineering field drop cv,direct,0
register service,direct,0
would like sign program provide information going happen country thank,direct,1
would like know information,direct,0
need help please,direct,1
checking see get information job,direct,0
friend population delmas starving something u tell u get coupon get food,direct,1
man need therapy go situation,direct,1
think idea manufacturing passport,direct,0
please make possible job cannot seat watchi need live may god bless,direct,0
food im dying hunger,direct,1
help kid need tent food water medic,direct,1
poor never history country better prepare future form enjoy,direct,0
good morning please sengal emabassy portauprince thank,direct,0
kind info professional student damien,direct,0
please tel president waiting garden mar come implore god country return,direct,1
im happy information since th havent found anything even candy please tell get card get assistance,direct,1
population who sleeping street catch orther sick overcoat child,direct,1
good evening would like pas message place called fortjacques donte people never received anything pas message please,direct,1
earthquake victim ive hosted family le cayes southern haiti need help need job really hard please help,direct,1
live siloe impasse blanchard dont tent homeless made request earlier never got response please think u something,direct,1
want job order help mother young child family member passed away father two brother grand mother grand father,direct,0
need get tant food,direct,1
ask doctor without border mdecins sans frontieres come citiestowns outside portauprince area province also order care people left portauprince victim january th earthquake particularly dictors travel city gonaives,direct,1
id like sign information service,direct,1
hi would like get information organization thanks,direct,0
need job send reply please ok,direct,0
need explanation please,direct,0
would like know information number,direct,1
help understand going,direct,1
dont water keep clean,direct,1
good evining find yet something,direct,0
cyclone happy st valentin day,direct,1
cousin girlfriend hiv kind precaution take,direct,1
there way sleep please help god bless im waiting response im saint louis du sud departement sud,direct,1
province neglect capital,direct,0
thanks united nation message,direct,1
asking electricity available hour day electric company edh hasnt provided electricity,direct,1
limonade there someone pain sulfur stomach please help,direct,1
problem nothing day professionbut country offer anything,direct,0
want job translator english interpretator english,direct,0
digicom best telephone company northern part country also principally centreville center city haitian capital g,direct,0
digicomla best company phone northern region primarily downtown cape haitien g,direct,0
information earthquake,direct,1
dark mosquito eating u please send institution something u pole number da,direct,1
accept jesus yor personal savior memeber kingdom thank sister,direct,0
thing tomorrow,direct,0
procedure usa tourist visa going begin,direct,0
want know croixdesbouquets isnt part country havent found anything zone,direct,1
dont need go get help need info aabout,direct,1
would like information today please,direct,1
need information orphanage please,direct,1
would like know going country,direct,1
still havent found asking,direct,1
would like register plan,direct,0
need work u get paid governmentthe decentralisation waiting,direct,1
need job please must put head together make reconstruction country haitian people thank,direct,1
emergency problem make pas message u contact,direct,1
note person cursingit important translate crude matter,direct,0
may know mayor stop school checking safe,direct,1
welcome petit gonave balode zone need food water car emergency good day,direct,1
emergency find food water shelter champ de mar,direct,1
asking help call,direct,1
good evening please volcano phenomenal preview haiti really,direct,1
want job speak english spanish study public administration please give opportunity working thank,direct,1
dying hunger please help u situation address second narrow street patience,direct,1
school restart ouests department state proposition,direct,0
